ServiceStationNo,ObservationNo,PriceDate,PriceTime
237,300,2023-02-01,10:14
70,301,2023-02-01,10:14
29,302,2023-02-01,10:14
238,303,2023-02-01,10:15
191,304,2023-02-01,10:15
239,305,2023-02-01,10:15
240,306,2023-02-01,10:15
241,307,2023-02-01,10:15
242,308,2023-02-01,10:15
243,309,2023-02-01,10:15
244,310,2023-02-01,10:15
77,311,2023-02-01,10:15
245,312,2023-02-01,10:15
246,313,2023-02-01,10:15
247,314,2023-02-01,10:15
196,315,2023-02-01,10:15
248,316,2023-02-01,10:15
249,317,2023-02-01,10:15
250,318,2023-02-01,10:15
251,319,2023-02-01,10:15
252,320,2023-02-01,10:15
253,321,2023-02-01,10:15
254,322,2023-02-01,10:15
255,323,2023-02-01,10:15
256,324,2023-02-01,10:15
257,325,2023-02-01,10:15
258,326,2023-02-01,10:15
259,327,2023-02-01,10:15
236,328,2023-02-01,10:16
236,329,2023-02-01,10:16
260,330,2023-02-01,10:16
261,331,2023-02-01,10:16
262,332,2023-02-01,10:19
263,333,2023-02-01,10:20
261,334,2023-02-01,10:20
69,335,2023-02-01,10:20
245,336,2023-02-01,10:20
264,337,2023-02-01,10:20
265,338,2023-02-01,10:20
266,339,2023-02-01,10:20
267,340,2023-02-01,10:20
268,341,2023-02-01,10:20
269,342,2023-02-01,10:20
270,343,2023-02-01,10:20
271,344,2023-02-01,10:20
259,345,2023-02-01,10:20
272,346,2023-02-01,10:22
273,347,2023-02-01,10:22
160,348,2023-02-01,10:24
274,349,2023-02-01,10:29
275,350,2023-02-01,10:30
243,351,2023-02-01,10:30
276,352,2023-02-01,10:30
277,353,2023-02-01,10:31
278,354,2023-02-01,10:31
279,355,2023-02-01,10:35
280,356,2023-02-01,10:36
280,357,2023-02-01,10:36
281,358,2023-02-01,10:36
162,359,2023-02-01,10:41
282,360,2023-02-01,10:41
283,361,2023-02-01,10:44
79,362,2023-02-01,10:45
284,363,2023-02-01,10:45
285,364,2023-02-01,10:46
286,365,2023-02-01,10:46
95,366,2023-02-01,10:47
155,367,2023-02-01,10:47
287,368,2023-02-01,10:50
84,369,2023-02-01,10:50
288,370,2023-02-01,10:50
289,371,2023-02-01,10:50
290,372,2023-02-01,10:50
291,373,2023-02-01,10:50
292,374,2023-02-01,10:50
293,375,2023-02-01,10:51
294,376,2023-02-01,10:54
295,377,2023-02-01,10:54
296,378,2023-02-01,10:55
235,379,2023-02-01,10:56
235,380,2023-02-01,10:56
297,381,2023-02-01,10:56
95,382,2023-02-01,10:58
298,383,2023-02-01,10:59
299,384,2023-02-01,11:00
94,385,2023-02-01,11:00
94,386,2023-02-01,11:00
300,387,2023-02-01,11:00
301,388,2023-02-01,11:00
302,389,2023-02-01,11:00
303,390,2023-02-01,11:00
47,391,2023-02-01,11:02
47,392,2023-02-01,11:02
304,393,2023-02-01,11:04
305,394,2023-02-01,11:04
306,395,2023-02-01,11:04
52,396,2023-02-01,11:04
301,397,2023-02-01,11:04
301,398,2023-02-01,11:04
307,399,2023-02-01,11:05
308,400,2023-02-01,11:05
309,401,2023-02-01,11:07
310,402,2023-02-01,11:07
311,403,2023-02-01,11:07
210,404,2023-02-01,11:08
198,405,2023-02-01,11:08
312,406,2023-02-01,11:14
313,407,2023-02-01,11:15
314,408,2023-02-01,11:15
315,409,2023-02-01,11:15
316,410,2023-02-01,11:15
317,411,2023-02-01,11:15
318,412,2023-02-01,11:15
319,413,2023-02-01,11:15
320,414,2023-02-01,11:15
321,415,2023-02-01,11:15
322,416,2023-02-01,11:15
323,417,2023-02-01,11:15
324,418,2023-02-01,11:15
325,419,2023-02-01,11:15
326,420,2023-02-01,11:15
327,421,2023-02-01,11:15
328,422,2023-02-01,11:15
329,423,2023-02-01,11:15
330,424,2023-02-01,11:15
331,425,2023-02-01,11:15
332,426,2023-02-01,11:15
193,427,2023-02-01,11:15
333,428,2023-02-01,11:15
334,429,2023-02-01,11:15
335,430,2023-02-01,11:15
336,431,2023-02-01,11:15
337,432,2023-02-01,11:15
338,433,2023-02-01,11:15
339,434,2023-02-01,11:15
152,435,2023-02-01,11:15
340,436,2023-02-01,11:19
341,437,2023-02-01,11:20
341,438,2023-02-01,11:20
342,439,2023-02-01,11:20
342,440,2023-02-01,11:20
343,441,2023-02-01,11:20
343,442,2023-02-01,11:20
306,443,2023-02-01,11:20
344,444,2023-02-01,11:20
327,445,2023-02-01,11:20
345,446,2023-02-01,11:20
346,447,2023-02-01,11:20
347,448,2023-02-01,11:20
348,449,2023-02-01,11:20
332,450,2023-02-01,11:20
330,451,2023-02-01,11:20
329,452,2023-02-01,11:20
349,453,2023-02-01,11:20
319,454,2023-02-01,11:20
77,455,2023-02-01,11:20
313,456,2023-02-01,11:20
350,457,2023-02-01,11:20
351,458,2023-02-01,11:20
352,459,2023-02-01,11:20
339,460,2023-02-01,11:20
80,461,2023-02-01,11:20
79,462,2023-02-01,11:20
199,463,2023-02-01,11:22
353,464,2023-02-01,11:22
353,465,2023-02-01,11:22
354,466,2023-02-01,11:25
355,467,2023-02-01,11:30
356,468,2023-02-01,11:30
357,469,2023-02-01,11:31
358,470,2023-02-01,11:37
359,471,2023-02-01,11:38
211,472,2023-02-01,11:38
360,473,2023-02-01,11:38
361,474,2023-02-01,11:39
48,475,2023-02-01,11:40
215,476,2023-02-01,11:40
286,477,2023-02-01,11:40
362,478,2023-02-01,11:41
363,479,2023-02-01,11:45
364,480,2023-02-01,11:45
365,481,2023-02-01,11:45
366,482,2023-02-01,11:45
367,483,2023-02-01,11:45
368,484,2023-02-01,11:45
369,485,2023-02-01,11:45
140,486,2023-02-01,11:49
370,487,2023-02-01,11:49
371,488,2023-02-01,11:49
372,489,2023-02-01,11:50
373,490,2023-02-01,11:50
356,491,2023-02-01,11:50
374,492,2023-02-01,11:50
375,493,2023-02-01,11:50
376,494,2023-02-01,11:52
377,495,2023-02-01,11:59
267,496,2023-02-01,12:00
26,497,2023-02-01,12:00
281,498,2023-02-01,12:01
378,499,2023-02-01,12:01
379,500,2023-02-01,12:02
380,501,2023-02-01,12:03
381,502,2023-02-01,12:04
382,503,2023-02-01,12:04
383,504,2023-02-01,12:05
288,505,2023-02-01,12:06
384,506,2023-02-01,12:08
385,507,2023-02-01,12:08
386,508,2023-02-01,12:10
282,509,2023-02-01,12:11
285,510,2023-02-01,12:16
212,511,2023-02-01,12:17
387,512,2023-02-01,12:18
235,513,2023-02-01,12:18
388,514,2023-02-01,12:20
389,515,2023-02-01,12:20
390,516,2023-02-01,12:20
391,517,2023-02-01,12:20
392,518,2023-02-01,12:20
393,519,2023-02-01,12:20
235,520,2023-02-01,12:22
394,521,2023-02-01,12:23
395,522,2023-02-01,12:24
235,523,2023-02-01,12:24
396,524,2023-02-01,12:28
131,525,2023-02-01,12:30
397,526,2023-02-01,12:30
235,527,2023-02-01,12:35
398,528,2023-02-01,12:36
399,529,2023-02-01,12:38
400,530,2023-02-01,12:38
360,531,2023-02-01,12:38
401,532,2023-02-01,12:38
402,533,2023-02-01,12:38
402,534,2023-02-01,12:38
403,535,2023-02-01,12:38
91,536,2023-02-01,12:38
92,537,2023-02-01,12:38
404,538,2023-02-01,12:38
140,539,2023-02-01,12:39
95,540,2023-02-01,12:40
95,541,2023-02-01,12:40
95,542,2023-02-01,12:40
405,543,2023-02-01,12:40
405,544,2023-02-01,12:40
92,545,2023-02-01,12:40
69,546,2023-02-01,12:40
70,547,2023-02-01,12:40
406,548,2023-02-01,12:40
91,549,2023-02-01,12:42
69,550,2023-02-01,12:42
69,551,2023-02-01,12:42
403,552,2023-02-01,12:44
407,553,2023-02-01,12:44
91,554,2023-02-01,12:46
408,555,2023-02-01,12:46
409,556,2023-02-01,12:46
360,557,2023-02-01,12:50
410,558,2023-02-01,12:50
411,559,2023-02-01,12:50
412,560,2023-02-01,12:50
413,561,2023-02-01,12:50
414,562,2023-02-01,12:53
338,563,2023-02-01,13:00
415,564,2023-02-01,13:06
416,565,2023-02-01,13:06
417,566,2023-02-01,13:06
418,567,2023-02-01,13:07
419,568,2023-02-01,13:09
420,569,2023-02-01,13:11
421,570,2023-02-01,13:12
422,571,2023-02-01,13:14
180,572,2023-02-01,13:15
423,573,2023-02-01,13:15
424,574,2023-02-01,13:16
235,575,2023-02-01,13:16
425,576,2023-02-01,13:18
426,577,2023-02-01,13:18
427,578,2023-02-01,13:18
428,579,2023-02-01,13:20
429,580,2023-02-01,13:20
411,581,2023-02-01,13:20
424,582,2023-02-01,13:20
424,583,2023-02-01,13:20
121,584,2023-02-01,13:23
27,585,2023-02-01,13:25
430,586,2023-02-01,13:25
431,587,2023-02-01,13:25
340,588,2023-02-01,13:26
432,589,2023-02-01,13:27
361,590,2023-02-01,13:27
433,591,2023-02-01,13:28
434,592,2023-02-01,13:29
114,593,2023-02-01,13:30
359,594,2023-02-01,13:34
435,595,2023-02-01,13:34
436,596,2023-02-01,13:34
437,597,2023-02-01,13:34
438,598,2023-02-01,13:34
439,599,2023-02-01,13:34
2,600,2023-02-01,13:37
440,601,2023-02-01,13:39
441,602,2023-02-01,13:40
23,603,2023-02-01,13:40
442,604,2023-02-01,13:41
222,605,2023-02-01,13:42
443,606,2023-02-01,13:42
378,607,2023-02-01,13:44
312,608,2023-02-01,13:45
86,609,2023-02-01,13:46
86,610,2023-02-01,13:46
444,611,2023-02-01,13:47
445,612,2023-02-01,13:47
446,613,2023-02-01,13:48
446,614,2023-02-01,13:48
447,615,2023-02-01,13:48
448,616,2023-02-01,13:48
448,617,2023-02-01,13:48
449,618,2023-02-01,13:48
123,619,2023-02-01,13:48
450,620,2023-02-01,13:48
450,621,2023-02-01,13:48
451,622,2023-02-01,13:48
451,623,2023-02-01,13:48
452,624,2023-02-01,13:48
452,625,2023-02-01,13:48
453,626,2023-02-01,13:48
453,627,2023-02-01,13:48
100,628,2023-02-01,13:48
454,629,2023-02-01,13:50
455,630,2023-02-01,13:50
360,631,2023-02-01,13:50
141,632,2023-02-01,13:50
456,633,2023-02-01,13:50
457,634,2023-02-01,13:51
458,635,2023-02-01,13:51
362,636,2023-02-01,13:53
459,637,2023-02-01,13:53
54,638,2023-02-01,13:56
460,639,2023-02-01,13:57
461,640,2023-02-01,13:59
462,641,2023-02-01,14:04
463,642,2023-02-01,14:04
464,643,2023-02-01,14:04
464,644,2023-02-01,14:04
381,645,2023-02-01,14:04
381,646,2023-02-01,14:04
465,647,2023-02-01,14:04
466,648,2023-02-01,14:04
466,649,2023-02-01,14:04
467,650,2023-02-01,14:04
467,651,2023-02-01,14:04
468,652,2023-02-01,14:04
469,653,2023-02-01,14:04
32,654,2023-02-01,14:08
470,655,2023-02-01,14:08
81,656,2023-02-01,14:12
61,657,2023-02-01,14:14
100,658,2023-02-01,14:14
471,659,2023-02-01,14:14
100,660,2023-02-01,14:14
472,661,2023-02-01,14:18
398,662,2023-02-01,14:18
473,663,2023-02-01,14:18
474,664,2023-02-01,14:19
141,665,2023-02-01,14:20
475,666,2023-02-01,14:20
476,667,2023-02-01,14:20
477,668,2023-02-01,14:20
397,669,2023-02-01,14:20
478,670,2023-02-01,14:22
479,671,2023-02-01,14:22
480,672,2023-02-01,14:25
286,673,2023-02-01,14:26
481,674,2023-02-01,14:27
482,675,2023-02-01,14:28
483,676,2023-02-01,14:28
481,677,2023-02-01,14:28
483,678,2023-02-01,14:30
483,679,2023-02-01,14:30
484,680,2023-02-01,14:30
485,681,2023-02-01,14:34
486,682,2023-02-01,14:34
487,683,2023-02-01,14:40
488,684,2023-02-01,14:43
489,685,2023-02-01,14:45
489,686,2023-02-01,14:45
490,687,2023-02-01,14:46
485,688,2023-02-01,14:48
426,689,2023-02-01,14:48
491,690,2023-02-01,14:48
492,691,2023-02-01,14:48
493,692,2023-02-01,14:48
198,693,2023-02-01,14:50
494,694,2023-02-01,14:50
288,695,2023-02-01,14:50
495,696,2023-02-01,14:50
483,697,2023-02-01,14:52
496,698,2023-02-01,14:55
497,699,2023-02-01,14:57
498,700,2023-02-01,15:04
267,701,2023-02-01,15:05
499,702,2023-02-01,15:14
500,703,2023-02-01,15:14
501,704,2023-02-01,15:15
152,705,2023-02-01,15:15
235,706,2023-02-01,15:21
235,707,2023-02-01,15:22
502,708,2023-02-01,15:30
503,709,2023-02-01,15:30
504,710,2023-02-01,15:30
443,711,2023-02-01,15:30
505,712,2023-02-01,15:32
102,713,2023-02-01,15:41
506,714,2023-02-01,15:42
507,715,2023-02-01,15:46
508,716,2023-02-01,15:47
509,717,2023-02-01,15:53
510,718,2023-02-01,15:58
286,719,2023-02-01,15:59
511,720,2023-02-01,16:04
512,721,2023-02-01,16:04
426,722,2023-02-01,16:04
513,723,2023-02-01,16:04
513,724,2023-02-01,16:04
514,725,2023-02-01,16:04
475,726,2023-02-01,16:04
456,727,2023-02-01,16:04
45,728,2023-02-01,16:04
132,729,2023-02-01,16:04
515,730,2023-02-01,16:05
516,731,2023-02-01,16:05
517,732,2023-02-01,16:05
517,733,2023-02-01,16:12
518,734,2023-02-01,16:15
426,735,2023-02-01,16:16
519,736,2023-02-01,16:20
107,737,2023-02-01,16:22
520,738,2023-02-01,16:32
520,739,2023-02-01,16:32
521,740,2023-02-01,16:32
463,741,2023-02-01,16:32
522,742,2023-02-01,16:32
523,743,2023-02-01,16:32
524,744,2023-02-01,16:32
525,745,2023-02-01,16:32
526,746,2023-02-01,16:32
527,747,2023-02-01,16:32
528,748,2023-02-01,16:32
529,749,2023-02-01,16:32
530,750,2023-02-01,16:32
531,751,2023-02-01,16:32
532,752,2023-02-01,16:32
532,753,2023-02-01,16:32
533,754,2023-02-01,16:32
534,755,2023-02-01,16:32
164,756,2023-02-01,16:32
164,757,2023-02-01,16:32
535,758,2023-02-01,16:34
535,759,2023-02-01,16:34
536,760,2023-02-01,16:34
536,761,2023-02-01,16:34
537,762,2023-02-01,16:38
537,763,2023-02-01,16:38
538,764,2023-02-01,16:44
159,765,2023-02-01,16:50
539,766,2023-02-01,16:55
540,767,2023-02-01,16:57
541,768,2023-02-01,17:00
151,769,2023-02-01,17:01
542,770,2023-02-01,17:02
543,771,2023-02-01,17:02
544,772,2023-02-01,17:03
545,773,2023-02-01,17:05
282,774,2023-02-01,17:06
546,775,2023-02-01,17:13
547,776,2023-02-01,17:15
548,777,2023-02-01,17:15
549,778,2023-02-01,17:16
117,779,2023-02-01,17:17
550,780,2023-02-01,17:22
551,781,2023-02-01,17:27
431,782,2023-02-01,17:27
552,783,2023-02-01,17:28
553,784,2023-02-01,17:30
554,785,2023-02-01,17:30
150,786,2023-02-01,17:35
36,787,2023-02-01,17:36
282,788,2023-02-01,17:44
555,789,2023-02-01,17:44
310,790,2023-02-01,17:49
357,791,2023-02-01,17:53
556,792,2023-02-01,17:53
23,793,2023-02-01,18:00
15,794,2023-02-01,18:02
166,795,2023-02-01,18:03
557,796,2023-02-01,18:04
558,797,2023-02-01,18:04
559,798,2023-02-01,18:05
560,799,2023-02-01,18:06
443,800,2023-02-01,18:08
560,801,2023-02-01,18:08
561,802,2023-02-01,18:13
13,803,2023-02-01,18:13
562,804,2023-02-01,18:14
563,805,2023-02-01,18:15
564,806,2023-02-01,18:15
562,807,2023-02-01,18:18
9,808,2023-02-01,18:18
435,809,2023-02-01,18:20
565,810,2023-02-01,18:21
14,811,2023-02-01,18:23
167,812,2023-02-01,18:34
235,813,2023-02-01,18:40
235,814,2023-02-01,18:41
566,815,2023-02-01,18:43
235,816,2023-02-01,18:43
567,817,2023-02-01,18:49
568,818,2023-02-01,18:57
569,819,2023-02-01,18:58
62,820,2023-02-01,19:01
18,821,2023-02-01,19:02
2,822,2023-02-01,19:03
570,823,2023-02-01,19:06
12,824,2023-02-01,19:07
571,825,2023-02-01,19:09
545,826,2023-02-01,19:16
409,827,2023-02-01,19:17
545,828,2023-02-01,19:17
140,829,2023-02-01,19:18
1,830,2023-02-01,19:19
105,831,2023-02-01,19:28
572,832,2023-02-01,19:28
478,833,2023-02-01,19:45
282,834,2023-02-01,19:45
11,835,2023-02-01,19:50
3,836,2023-02-01,19:52
76,837,2023-02-01,19:52
4,838,2023-02-01,19:52
573,839,2023-02-01,19:52
574,840,2023-02-01,19:52
574,841,2023-02-01,19:54
574,842,2023-02-01,19:54
575,843,2023-02-01,19:56
576,844,2023-02-01,20:06
577,845,2023-02-01,20:10
1,846,2023-02-01,20:14
578,847,2023-02-01,20:48
579,848,2023-02-01,20:51
27,849,2023-02-01,20:57
580,850,2023-02-01,21:00
581,851,2023-02-01,21:01
428,852,2023-02-01,21:01
340,853,2023-02-01,21:01
582,854,2023-02-01,21:04
583,855,2023-02-01,21:08
543,856,2023-02-01,21:10
584,857,2023-02-01,21:12
584,858,2023-02-01,21:12
585,859,2023-02-01,21:16
108,860,2023-02-01,21:18
586,861,2023-02-01,21:30
587,862,2023-02-01,21:33
588,863,2023-02-01,21:41
544,864,2023-02-01,21:44
589,865,2023-02-01,21:51
590,866,2023-02-01,21:55
591,867,2023-02-01,21:57
542,868,2023-02-01,22:01
592,869,2023-02-01,22:03
30,870,2023-02-01,22:06
593,871,2023-02-01,22:07
569,872,2023-02-01,22:15
594,873,2023-02-01,22:17
340,874,2023-02-01,22:33
595,875,2023-02-01,22:42
583,876,2023-02-01,22:49
581,877,2023-02-01,22:49
575,878,2023-02-01,22:58
428,879,2023-02-01,23:00
282,880,2023-02-01,23:11
1,881,2023-02-02,00:01
2,882,2023-02-02,00:39
418,883,2023-02-02,01:08
418,884,2023-02-02,01:08
596,885,2023-02-02,04:09
597,886,2023-02-02,04:10
598,887,2023-02-02,04:20
599,888,2023-02-02,04:30
600,889,2023-02-02,04:38
9,890,2023-02-02,04:50
15,891,2023-02-02,04:56
11,892,2023-02-02,05:01
601,893,2023-02-02,05:02
586,894,2023-02-02,05:03
12,895,2023-02-02,05:05
235,896,2023-02-02,05:08
18,897,2023-02-02,05:09
14,898,2023-02-02,05:18
602,899,2023-02-02,05:23
603,900,2023-02-02,05:38
572,901,2023-02-02,05:52
179,902,2023-02-02,05:54
27,903,2023-02-02,05:55
146,904,2023-02-02,05:57
604,905,2023-02-02,05:57
190,906,2023-02-02,05:57
30,907,2023-02-02,05:59
23,908,2023-02-02,06:00
32,909,2023-02-02,06:01
53,910,2023-02-02,06:01
605,911,2023-02-02,06:04
36,912,2023-02-02,06:05
147,913,2023-02-02,06:06
383,914,2023-02-02,06:06
119,915,2023-02-02,06:06
606,916,2023-02-02,06:06
120,917,2023-02-02,06:06
607,918,2023-02-02,06:08
13,919,2023-02-02,06:12
177,920,2023-02-02,06:15
148,921,2023-02-02,06:15
118,922,2023-02-02,06:15
187,923,2023-02-02,06:15
176,924,2023-02-02,06:15
175,925,2023-02-02,06:15
173,926,2023-02-02,06:15
127,927,2023-02-02,06:15
608,928,2023-02-02,06:18
188,929,2023-02-02,06:18
